epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.879428562096187,0.2948753881454468,0.001,0.7120000076293945,2.4665563201904295
1,0.9188571333885193,0.21395757581506455,0.001,0.7920000076293945,1.7164790725708008
2,0.9354285676138742,0.17031961372920446,0.001,0.7440000295639038,1.5394874650239945
3,0.9465714165142605,0.14897830520357405,0.001,0.8899999952316284,0.30141630470752717
4,0.950999995980944,0.12619427208389555,0.001,0.8380000185966492,0.833423712849617
5,0.9605714283670698,0.10433974206447601,0.001,0.8540000033378601,0.415404132604599
6,0.962142858845847,0.10664981160845076,0.001,0.8859999847412109,0.27926343768835066
7,0.9664285727909633,0.09384813849415098,0.001,0.899999988079071,0.4755380791425705
8,0.9675714302062989,0.08312938937119076,0.001,0.874000015258789,0.35736669719219205
9,0.9675714247567313,0.08569362491369248,0.001,0.9119999885559082,0.3039666328951716
10,0.9701428617749895,0.08381328101669039,0.001,0.9059999990463257,0.34661317586898804
11,0.9762857246398926,0.06549185063157763,0.001,0.9059999799728393,0.2527746284008026
12,0.9805714413097927,0.052090544700622556,0.001,0.9120000147819519,0.30370063811540604
13,0.9824285766056605,0.05303255157811301,0.001,0.9279999923706055,0.24832968413829803
14,0.9858571444238935,0.04086741036602429,0.001,0.8820000147819519,0.6697347170114517
15,0.9768571550505502,0.0588883388414979,0.001,0.7780000257492066,0.913082445859909
16,0.985714293888637,0.037793983625514165,0.001,0.8839999961853028,0.8220485023409129
17,0.9814285724503653,0.04823112346231937,0.001,0.89,0.6134833794459701
18,0.9889999961853028,0.029786571019462176,0.001,0.9119999885559082,0.4197437275573611
19,0.9938571436064584,0.017334116319460528,0.0003162278,0.9319999885559082,0.25339560009073464
20,0.9975714216913496,0.008744738453200885,0.0003162278,0.9300000190734863,0.25557822728995233
21,0.998571424484253,0.006756848392209836,0.0003162278,0.9319999885559082,0.2270401231793221
22,0.9977142851693289,0.008136439380635109,0.0003162278,0.9340000152587891,0.2626227111183107
23,0.998428567818233,0.005445825693064502,0.0003162278,0.9440000152587891,0.19959694100543857
24,0.9987142835344587,0.005540917658114008,0.0003162278,0.9339999771118164,0.24426391602493822
25,0.9992857112203326,0.004005426397946264,0.0003162278,0.9339999961853027,0.2365394300967455
26,0.9971428571428571,0.008453107000594692,0.0003162278,0.9439999961853027,0.23093498615548014
27,0.9992857115609305,0.0030994411551260523,0.0003162278,0.9440000152587891,0.2253192739188671
28,0.998571424143655,0.004312930358573794,0.0003162278,0.95,0.21705561269074677
29,0.9997142846243722,0.002435247637331486,0.000100000005,0.9540000152587891,0.2152584272623062
