epoch,valAll,trainAll,valAtLeastOne,trainAtLeastOne
0,0.26,0.3385714285714286,0.36,0.46214285714285713
1,0.35,0.4714285714285714,0.51,0.6278571428571429
2,0.38,0.5171428571428571,0.5399999999999999,0.6885714285714286
3,0.38,0.5128571428571429,0.56,0.6971428571428572
4,0.41,0.53,0.57,0.6942857142857143
5,0.49,0.5542857142857143,0.67,0.7192857142857143
6,0.45,0.5342857142857143,0.61,0.6771428571428572
7,0.41,0.5428571428571428,0.61,0.7221428571428571
8,0.53,0.5557142857142857,0.6699999999999999,0.7042857142857143
9,0.53,0.5814285714285714,0.7000000000000001,0.7364285714285714
10,0.49,0.5585714285714286,0.6699999999999999,0.7385714285714285
11,0.55,0.5842857142857143,0.7,0.735
12,0.52,0.5857142857142857,0.71,0.7528571428571429
13,0.55,0.6014285714285714,0.73,0.7757142857142857
14,0.55,0.5907142857142857,0.74,0.7657142857142858
15,0.55,0.605,0.7100000000000001,0.7807142857142857
16,0.57,0.5942857142857143,0.77,0.7592857142857143
17,0.55,0.6207142857142857,0.74,0.7728571428571429
18,0.58,0.625,0.75,0.7685714285714286
19,0.57,0.6292857142857143,0.72,0.7785714285714286
20,0.62,0.6278571428571429,0.79,0.7935714285714286
21,0.55,0.6185714285714285,0.73,0.7814285714285715
22,0.55,0.64,0.7,0.7964285714285714
23,0.57,0.645,0.75,0.8114285714285714
24,0.66,0.6635714285714286,0.78,0.7792857142857144
25,0.56,0.6,0.73,0.7678571428571429
26,0.59,0.6385714285714286,0.72,0.785
27,0.7,0.6571428571428571,0.8300000000000001,0.7792857142857142
28,0.56,0.6592857142857143,0.71,0.8028571428571429
29,0.63,0.6678571428571428,0.77,0.8128571428571428
30,0.65,0.6921428571428572,0.81,0.8271428571428571
31,0.61,0.6914285714285714,0.76,0.8207142857142857
32,0.63,0.6764285714285714,0.74,0.812857142857143
33,0.7,0.7278571428571429,0.82,0.8435714285714285
34,0.67,0.7378571428571429,0.77,0.8535714285714285
35,0.67,0.7407142857142858,0.8,0.8607142857142858
36,0.67,0.7307142857142858,0.7899999999999999,0.8514285714285714
37,0.66,0.7328571428571429,0.78,0.845
38,0.67,0.7478571428571429,0.79,0.8614285714285714
39,0.67,0.75,0.79,0.8671428571428572
40,0.68,0.7535714285714286,0.7899999999999999,0.8714285714285714
41,0.67,0.7435714285714285,0.78,0.8614285714285714
42,0.72,0.7585714285714286,0.83,0.8742857142857143
43,0.72,0.7607142857142857,0.83,0.8714285714285714
44,0.71,0.7535714285714286,0.82,0.87
45,0.69,0.7492857142857143,0.8099999999999999,0.8671428571428571
46,0.69,0.7542857142857143,0.7999999999999999,0.8657142857142857
47,0.68,0.7585714285714286,0.7999999999999999,0.8728571428571429
48,0.68,0.7578571428571429,0.79,0.8707142857142858
49,0.68,0.7592857142857142,0.7999999999999999,0.8714285714285714
50,0.68,0.7571428571428571,0.7999999999999999,0.8721428571428571
51,0.68,0.7578571428571429,0.7999999999999999,0.8721428571428572
52,0.67,0.7592857142857142,0.79,0.8735714285714286
53,0.68,0.7585714285714286,0.7999999999999999,0.8728571428571429
54,0.68,0.76,0.7999999999999999,0.8742857142857142
55,0.68,0.7585714285714286,0.7999999999999999,0.8742857142857142
56,0.68,0.7578571428571429,0.7999999999999999,0.8728571428571429
57,0.68,0.7585714285714286,0.7999999999999999,0.8735714285714287
58,0.68,0.7607142857142857,0.7999999999999999,0.8742857142857143
59,0.68,0.76,0.7999999999999999,0.8735714285714287
60,0.68,0.7607142857142857,0.7999999999999999,0.8742857142857143
61,0.68,0.76,0.7999999999999999,0.8742857142857143
62,0.68,0.76,0.7999999999999999,0.8735714285714286
63,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
64,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
65,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
66,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
67,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
68,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
69,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
70,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
71,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
72,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
73,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
74,0.68,0.7592857142857142,0.7999999999999999,0.8735714285714286
75,0.68,0.76,0.7999999999999999,0.8742857142857142
76,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
77,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
78,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
79,0.68,0.7585714285714286,0.7999999999999999,0.8735714285714286
80,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
81,0.68,0.76,0.7999999999999999,0.875
82,0.68,0.76,0.7999999999999999,0.875
83,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
84,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
85,0.68,0.76,0.7999999999999999,0.875
86,0.68,0.76,0.7999999999999999,0.875
87,0.68,0.7592857142857142,0.7999999999999999,0.875
88,0.68,0.76,0.7999999999999999,0.875
89,0.68,0.76,0.7999999999999999,0.875
90,0.68,0.76,0.7999999999999999,0.875
91,0.68,0.76,0.7999999999999999,0.875
92,0.68,0.76,0.7999999999999999,0.875
93,0.68,0.76,0.7999999999999999,0.875
94,0.68,0.76,0.7999999999999999,0.875
95,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857143
96,0.68,0.76,0.7999999999999999,0.875
97,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857143
98,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
99,0.68,0.7592857142857142,0.7999999999999999,0.8742857142857142
