epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.8251428621155875,0.4846131462710244,0.001,0.680000011920929,3.56131965637207
1,0.8632857091086251,0.35942125609942843,0.001,0.7160000228881835,3.0628676891326903
2,0.8815714236668178,0.29514516949653624,0.001,0.7580000114440918,2.3913687086105346
3,0.8997142846243722,0.2528578153678349,0.001,0.8600000047683716,0.39262001514434813
4,0.9077142824445452,0.23169028810092382,0.001,0.8700000071525573,0.3949878489971161
5,0.92042856999806,0.20256114559514182,0.001,0.8820000004768371,0.2850018930435181
6,0.9204285625049046,0.19715133258274622,0.001,0.924000015258789,0.2428599241375923
7,0.9245714197840009,0.18558763435908726,0.001,0.8900000047683716,0.30841291427612305
8,0.9351428484916687,0.16550187247140066,0.001,0.9019999694824219,0.24212438777089118
9,0.9387142808096749,0.16064242013863156,0.001,0.8639999961853028,0.5355845329165458
10,0.9395714201245989,0.15514302602836064,0.001,0.8739999651908874,0.34026705265045165
11,0.9391428579602923,0.14741623103618623,0.001,0.9119999885559082,0.2525804857909679
12,0.9464285704067775,0.1396674712215151,0.001,0.8640000200271607,0.46975681066513064
13,0.9544285689081464,0.1260983167375837,0.001,0.9259999847412109,0.2261548098921776
14,0.9578571442195347,0.11253188009772983,0.001,0.8979999923706055,0.31859893947839735
15,0.9599999982970101,0.10967180190341813,0.001,0.7920000028610229,1.3228043150901794
16,0.9594285692487444,0.11356308136667524,0.001,0.8939999914169312,0.3589666533470154
17,0.9582857135363988,0.10992659832750049,0.001,0.8979999995231629,0.29289521515369416
18,0.9670000004768372,0.09032546733106886,0.001,0.9120000076293945,0.35963248133659365
19,0.9788571490560259,0.05920531564525196,0.0003162278,0.9319999885559082,0.22862393204122783
20,0.9867142919131687,0.03904120526143483,0.0003162278,0.9399999809265137,0.21292005240917206
21,0.9891428576196943,0.03473058612218925,0.0003162278,0.9219999885559083,0.22262090116739272
22,0.9914285714285714,0.02919253867651735,0.0003162278,0.9339999771118164,0.20988721162080765
23,0.9907142826489039,0.028600849700825555,0.0003162278,0.9260000133514404,0.2579297237843275
24,0.9912857147625515,0.02891039819589683,0.0003162278,0.9360000038146973,0.22955838772002607
25,0.993571424484253,0.019946091840309755,0.0003162278,0.9420000076293945,0.22699933364521713
26,0.9949999931880406,0.0171120015611606,0.0003162278,0.9259999847412109,0.2655688694491982
27,0.9939999948229109,0.01929279310894864,0.0003162278,0.92,0.2507553989998996
28,0.9949999904632568,0.01631905703938433,0.000100000005,0.9320000076293945,0.2430044715013355
29,0.9978571384293693,0.009988690436418568,0.000100000005,0.9380000114440918,0.2340848600678146
